 INFO  Accepting connections at http://localhost:50882
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /fonts/sura_names.woff2
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/BDVEqCrL.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/zl_2K1v6.css
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Dd_uD5pT.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DBS6dEDT.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DlqF-Q9R.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/BtcNfqYj.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/CsAENo4O.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DnwugcIX.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /boot-recovery.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/BQETMH0i.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/D5y38FhP.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/CtlOVN0x.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/p5mvA6Hr.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Pc1HiVft.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/CjUdLvEO.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DrPO9yhe.css
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Cn8bnFbQ.css
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/BV6TkdGG.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/BbV1xr_y.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/WdCAoVEb.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Q-AVg879.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/CAGkQ57M.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Bw1Mrdk5.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/CcrV64of.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DHvnusEs.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/jkh5ohSt.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 9 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/1MTNkBLe2.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/B5mE2qJ-.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Cow9sMfY.css
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/uQNpWlo22.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/g0gj47i5.css
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DdtanL0G2.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/Az_lAj5z2.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/B_Vv3o9c.css
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /assets/DCLj4XDt2.js
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:12 127.0.0.1 GET /data/reciter-profiles.json?v=2026-08-13
 HTTP  21/09/2026 11:26:12 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/C7wlPZ8I2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/CA2v4QQt.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/Cs_S6In6.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/RcmrQRC_2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/C341yGq-2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/BPkmKnI42.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/Csd29z0r.css
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/Nq80AuJZ.css
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/DuUexLtA.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/gVooCA6h2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/CBv1USn_2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/B9wZ-J5c2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 GET /assets/CO-28j1N2.js
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:13 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 0 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /logo-ui.webp
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /fonts/uthmanic-hafs-v18.woff2
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 0 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /fonts/kfgqpc-warsh-21.woff2
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /fonts/scheherazade-new-400.woff2
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /fonts/sura_names.woff2
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/BDVEqCrL.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/zl_2K1v6.css
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/Dd_uD5pT.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/DBS6dEDT.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/DlqF-Q9R.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/BtcNfqYj.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/CsAENo4O.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/DnwugcIX.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /boot-recovery.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/BQETMH0i.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/D5y38FhP.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/CtlOVN0x.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/p5mvA6Hr.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/Pc1HiVft.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/CjUdLvEO.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/DrPO9yhe.css
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/Cn8bnFbQ.css
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/BV6TkdGG.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/BbV1xr_y.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/WdCAoVEb.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/Q-AVg879.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/CAGkQ57M.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/Bw1Mrdk5.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/CcrV64of.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 7 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/DHvnusEs.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/jkh5ohSt.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 8 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 8 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/1MTNkBLe2.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/B5mE2qJ-.js
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:23 127.0.0.1 GET /assets/Cow9sMfY.css
 HTTP  21/09/2026 11:26:23 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:24 127.0.0.1 GET /assets/uQNpWlo22.js
 HTTP  21/09/2026 11:26:24 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:24 127.0.0.1 GET /assets/g0gj47i5.css
 HTTP  21/09/2026 11:26:24 127.0.0.1 GET /assets/DdtanL0G2.js
 HTTP  21/09/2026 11:26:24 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:24 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/Az_lAj5z2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/B_Vv3o9c.css
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/DCLj4XDt2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 0 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /data/reciter-profiles.json?v=2026-08-13
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/C7wlPZ8I2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/CA2v4QQt.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/Cs_S6In6.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/RcmrQRC_2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/C341yGq-2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/BPkmKnI42.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/Csd29z0r.css
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/Nq80AuJZ.css
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/DuUexLtA.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/gVooCA6h2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/CBv1USn_2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/B9wZ-J5c2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 GET /assets/CO-28j1N2.js
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:25 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /surah/2
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /logo-ui.webp
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /fonts/uthmanic-hafs-v18.woff2
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /fonts/kfgqpc-warsh-21.woff2
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /fonts/scheherazade-new-400.woff2
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /fonts/sura_names.woff2
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BDVEqCrL.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/zl_2K1v6.css
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Dd_uD5pT.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DBS6dEDT.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DlqF-Q9R.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BtcNfqYj.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CsAENo4O.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DnwugcIX.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /boot-recovery.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BQETMH0i.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/D5y38FhP.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CtlOVN0x.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/p5mvA6Hr.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Pc1HiVft.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CjUdLvEO.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DrPO9yhe.css
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Csd29z0r.css
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Nq80AuJZ.css
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DdoeXRh4.css
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Cow9sMfY.css
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 8 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 7 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BV6TkdGG.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BbV1xr_y.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 7 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 8 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/C7wlPZ8I2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 16 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Q-AVg879.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CAGkQ57M.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 16 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 16 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DHvnusEs.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CA2v4QQt.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 10 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 18 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Cs_S6In6.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/RcmrQRC_2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/C341yGq-2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Bw1Mrdk5.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BPkmKnI42.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DuUexLtA.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CcrV64of.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 9 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 10 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DdtanL0G2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/gVooCA6h2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/CBv1USn_2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/B9wZ-J5c2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/X1YyJ6Jm.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/DJ7VoPMh.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/jkh5ohSt.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/1MTNkBLe2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 12 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/B5mE2qJ-.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/Bf2UVK6W2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 GET /assets/BJRW6dXJ2.js
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:37 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:38 127.0.0.1 GET /assets/WdCAoVEb.js
 HTTP  21/09/2026 11:26:38 127.0.0.1 GET /assets/Cn8bnFbQ.css
 HTTP  21/09/2026 11:26:38 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:38 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:38 127.0.0.1 GET /assets/uQNpWlo22.js
 HTTP  21/09/2026 11:26:38 127.0.0.1 GET /assets/g0gj47i5.css
 HTTP  21/09/2026 11:26:38 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:38 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:26:49 127.0.0.1 GET /surah/2
 HTTP  21/09/2026 11:26:49 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:49 127.0.0.1 GET /logo-ui.webp
 HTTP  21/09/2026 11:26:49 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:49 127.0.0.1 GET /fonts/uthmanic-hafs-v18.woff2
 HTTP  21/09/2026 11:26:49 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:26:49 127.0.0.1 GET /fonts/kfgqpc-warsh-21.woff2
 HTTP  21/09/2026 11:26:49 127.0.0.1 GET /fonts/scheherazade-new-400.woff2
 HTTP  21/09/2026 11:26:49 127.0.0.1 GET /fonts/sura_names.woff2
